id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,34,2716,27,29.414338618516922,2,2.4752993676811457,115,18,1,0,F S,Barcelona,24,26.441228091716766,29.242779716849327,6.6593545116484165
8026,Raphinha,36,2862,18,19.265995418652892,10,13.527044044807553,114,91,4,0,F M S,Barcelona,16,17.779440259560943,39.28257852047682,13.650435471907258
6441,Ferrán Torres,27,1093,10,9.682402739301324,6,3.556156000122428,48,19,1,1,F M S,Barcelona,10,9.682402739301324,14.058789663016796,2.258015837520361
8292,Dani Olmo,25,1221,10,6.638132888823748,4,3.851693106815219,42,27,1,0,M S,Barcelona,8,5.151577670127153,17.126844070851803,9.938899960368872
11527,Lamine Yamal,35,2879,9,11.593033526092768,13,14.466477727517486,144,64,3,0,F M S,Barcelona,9,11.593033526092768,38.307874619960785,18.00324920192361
11822,Fermín López,28,1224,6,4.756551628932357,5,4.712301393970847,41,29,4,1,M S,Barcelona,6,4.756551628932357,15.650715451687574,7.853520656004548
8935,Pedri,37,2941,4,2.5104309488087893,5,7.80679078027606,24,70,3,0,M S,Barcelona,4,2.5104309488087893,31.42633649148047,23.62103444710374
11025,Pablo Torre,10,302,3,0.29547323286533356,1,0.9360514245927334,6,8,0,0,M S,Barcelona,3,0.29547323286533356,3.322905655950308,2.8765976540744305
6433,Jules Koundé,32,2606,2,2.743822293356061,3,4.134010413661599,18,32,4,0,D S,Barcelona,2,2.743822293356061,24.09632397815585,20.274256374686956
7781,Frenkie de Jong,26,1105,2,1.0243200585246086,2,2.302895499393344,5,21,3,0,M S,Barcelona,2,1.0243200585246086,11.636852502822876,8.715320311486721
8045,Eric Garcia,29,1532,2,2.354891483671963,3,1.012534737586975,14,7,4,0,D M S,Barcelona,2,2.354891483671963,12.874616280198097,12.290382117033005
10953,Pau Victor,21,273,2,2.9672163296490908,1,0.8769846558570862,14,8,2,0,F S,Barcelona,2,2.9672163296490908,4.459078095853329,0.7532445453107357
8091,Ronald Araújo,12,771,1,1.166387401521206,1,0.4866340160369873,4,4,2,0,D S,Barcelona,1,1.166387401521206,4.386615861207247,3.8932461254298687
9804,Gavi,26,1079,1,1.0601166114211082,1,1.6527631673961878,11,14,4,0,F M S,Barcelona,1,1.0601166114211082,7.769327191635966,5.841560788452625
11151,Marc Casadó,23,1640,1,0.9119365168735385,3,1.634875988587737,14,9,2,1,M S,Barcelona,1,0.9119365168735385,14.537989675998688,13.50816598907113
12821,Gerard Martín,28,1018,1,0.6436223732307553,3,1.2958451379090548,7,12,2,0,D S,Barcelona,1,0.6436223732307553,7.371043564751744,6.111580042168498
200,Andreas Christensen,5,239,0,0.0332164540886879,0,0.040220171213150024,1,1,3,0,D S,Barcelona,0,0.0332164540886879,1.4766459465026855,1.4766459465026855
1244,Wojciech Szczesny,15,1350,0,0,0,0,0,0,1,0,GK,Barcelona,0,0,5.236224640160799,5.236224640160799
2090,Marc-André ter Stegen,8,677,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,3.72348815202713,3.72348815202713
2484,Iñigo Martínez,28,2505,0,0.5136058144271374,4,2.2479534801095724,13,16,5,0,D,Barcelona,0,0.5136058144271374,20.049223262816668,19.11283127591014
7287,Iñaki Peña,16,1393,0,0,0,0,0,0,1,0,GK S,Barcelona,0,0,3.9061195850372314,3.9061195850372314
7967,Anssumane Fati,6,228,0,1.1018417924642563,0,0.1238601952791214,12,4,1,0,M S,Barcelona,0,1.1018417924642563,1.8863119632005692,0.8099945038557053
9805,Álex Balde,32,2303,0,0.5467977644875646,4,3.6562538016587496,12,26,2,0,D S,Barcelona,0,0.5467977644875646,19.236092265695333,17.1140445061028
11634,Daniel Rodríguez,1,37,0,0.04132027551531792,0,0,2,0,0,0,M,Barcelona,0,0.04132027551531792,0.3060602843761444,0.2647400200366974
12005,Pau Cubarsí,35,2631,0,0.9356927424669266,3,1.5360766984522343,8,9,3,0,D S,Barcelona,0,0.9356927424669266,17.255911896005273,17.147910771891475
12171,Hector Fort,17,552,0,0.2694935295730829,0,1.3017480783164501,6,9,2,0,D S,Barcelona,0,0.2694935295730829,4.381688091903925,3.519320610910654
12820,Marc Bernal,3,256,0,0.05606347694993019,0,0.0110369473695755,2,1,2,0,M,Barcelona,0,0.05606347694993019,1.5139116048812866,1.4468111991882324
12823,Sergi Domínguez,3,177,0,0,0,0,0,0,1,0,D S,Barcelona,0,0,2.0779144912958145,2.0779144912958145
