id,isResult,side,h,a,goals,xG,datetime,forecast,result
26987,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '1.55206', 'a': '3.48824'}",2024-08-17 19:30:00,"{'w': 0.13143847043384158, 'd': 0.12955703039456404, 'l': 0.7390004006092042}",w
26995,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '2', 'a': '1'}","{'h': '2.41577', 'a': '1.09985'}",2024-08-24 17:00:00,"{'w': 0.663878721428977, 'd': 0.17954588890479503, 'l': 0.15657534494643438}",w
27004,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '0.392473', 'a': '1.51872'}",2024-08-27 19:30:00,"{'w': 0.09288890115979889, 'd': 0.2501030711219675, 'l': 0.6570080276207054}",w
27012,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '7', 'a': '0'}","{'h': '4.94022', 'a': '0.422493'}",2024-08-31 15:00:00,"{'w': 0.9730589200261314, 'd': 0.020931562325640096, 'l': 0.0058099913898405795}",w
27028,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '4'}","{'h': '1.09568', 'a': '2.5936'}",2024-09-15 14:15:00,"{'w': 0.13897615710674766, 'd': 0.16556577195962435, 'l': 0.6954579608917777}",w
27037,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '5'}","{'h': '2.39605', 'a': '4.1937'}",2024-09-22 16:30:00,"{'w': 0.18118114359364434, 'd': 0.12610140945804432, 'l': 0.6926835056753563}",w
27043,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '1', 'a': '0'}","{'h': '2.20799', 'a': '0.929851'}",2024-09-25 19:00:00,"{'w': 0.6641035893078768, 'd': 0.1900246941442409, 'l': 0.14587170247431652}",w
27056,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '4', 'a': '2'}","{'h': '2.50067', 'a': '0.751814'}",2024-09-28 19:00:00,"{'w': 0.7551629626615223, 'd': 0.153616285458865, 'l': 0.09122068249109418}",l
27064,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '3'}","{'h': '0.794829', 'a': '2.49367'}",2024-10-06 14:15:00,"{'w': 0.09838240132644804, 'd': 0.15705534945742813, 'l': 0.7445621822512656}",w
27074,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '5', 'a': '1'}","{'h': '4.08528', 'a': '0.599652'}",2024-10-20 19:00:00,"{'w': 0.9299444494673936, 'd': 0.05011434156099779, 'l': 0.019915922498675378}",w
27085,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '4'}","{'h': '1.40359', 'a': '2.51566'}",2024-10-26 19:00:00,"{'w': 0.20076580992777676, 'd': 0.1823319649984941, 'l': 0.6169021501921853}",w
27101,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '3', 'a': '1'}","{'h': '1.94398', 'a': '0.787359'}",2024-11-03 15:15:00,"{'w': 0.6459745115248585, 'd': 0.21011896036772745, 'l': 0.14390652544421512}",w
