situation,formation,gameState,timing,shotZone,attackSpeed,result
"{'shots': 441, 'goals': 61, 'xG': 67.68227864429355, 'against': {'shots': 318, 'goals': 38, 'xG': 36.749082460068166}}",,,,,,
"{'shots': 106, 'goals': 9, 'xG': 8.754524109885097, 'against': {'shots': 60, 'goals': 1, 'xG': 4.649873155169189}}",,,,,,
"{'shots': 21, 'goals': 2, 'xG': 1.3217509519308805, 'against': {'shots': 8, 'goals': 0, 'xG': 0.451908890157938}}",,,,,,
"{'shots': 20, 'goals': 1, 'xG': 2.8971059881150723, 'against': {'shots': 25, 'goals': 3, 'xG': 2.6641141436994076}}",,,,,,
"{'shots': 7, 'goals': 6, 'xG': 5.20294326543808, 'against': {'shots': 2, 'goals': 2, 'xG': 1.4865552186965942}}",,,,,,
,"{'stat': '4-3-3', 'time': 2660, 'shots': 439, 'goals': 62, 'xG': 63.52603564411402, 'against': {'shots': 305, 'goals': 39, 'xG': 33.874316652305424}}",,,,,
,"{'stat': '4-2-3-1', 'time': 578, 'shots': 90, 'goals': 10, 'xG': 13.544982070103288, 'against': {'shots': 63, 'goals': 2, 'xG': 7.7986008850857615}}",,,,,
,"{'stat': '3-4-1-2', 'time': 193, 'shots': 24, 'goals': 2, 'xG': 2.3339968603104353, 'against': {'shots': 26, 'goals': 2, 'xG': 1.7692843079566956}}",,,,,
,"{'stat': '3-4-2-1', 'time': 87, 'shots': 22, 'goals': 1, 'xG': 3.068328842520714, 'against': {'shots': 6, 'goals': 0, 'xG': 0.9434548560529947}}",,,,,
,"{'stat': '4-1-4-1', 'time': 47, 'shots': 10, 'goals': 3, 'xG': 1.6501220781356096, 'against': {'shots': 6, 'goals': 1, 'xG': 0.9385217428207397}}",,,,,
,"{'stat': '4-3-2-1', 'time': 45, 'shots': 7, 'goals': 0, 'xG': 1.039056921377778, 'against': {'shots': 2, 'goals': 0, 'xG': 0.0820489190518856}}",,,,,
,"{'stat': '4-4-1-1', 'time': 26, 'shots': 3, 'goals': 1, 'xG': 0.6960805431008339, 'against': {'shots': 4, 'goals': 0, 'xG': 0.3308516927063465}}",,,,,
,"{'stat': '3-1-4-2', 'time': 16, 'shots': 0, 'goals': 0, 'xG': 0, 'against': {'shots': 1, 'goals': 0, 'xG': 0.26445481181144714}}",,,,,
,,"{'stat': 'Goal diff 0', 'time': 2073, 'shots': 321, 'goals': 42, 'xG': 49.63628634624183, 'against': {'shots': 199, 'goals': 18, 'xG': 21.016320577822626}}",,,,
,,"{'stat': 'Goal diff +1', 'time': 880, 'shots': 121, 'goals': 13, 'xG': 15.324159882962704, 'against': {'shots': 134, 'goals': 16, 'xG': 15.030964429490268}}",,,,
,,"{'stat': 'Goal diff -1', 'time': 442, 'shots': 102, 'goals': 13, 'xG': 12.295858141966164, 'against': {'shots': 37, 'goals': 7, 'xG': 5.534519588574767}}",,,,
,,"{'stat': 'Goal diff > +1', 'time': 213, 'shots': 35, 'goals': 7, 'xG': 5.622169512324035, 'against': {'shots': 35, 'goals': 3, 'xG': 2.6515916362404823}}",,,,
,,"{'stat': 'Goal diff < -1', 'time': 44, 'shots': 16, 'goals': 4, 'xG': 2.980129076167941, 'against': {'shots': 8, 'goals': 0, 'xG': 1.7681376356631517}}",,,,
,,,"{'stat': '1-15', 'shots': 83, 'goals': 9, 'xG': 11.281608952209353, 'against': {'shots': 68, 'goals': 6, 'xG': 8.712060624733567}}",,,
,,,"{'stat': '16-30', 'shots': 71, 'goals': 7, 'xG': 9.23248466476798, 'against': {'shots': 67, 'goals': 6, 'xG': 6.70832709595561}}",,,
,,,"{'stat': '31-45', 'shots': 94, 'goals': 10, 'xG': 13.992149646393955, 'against': {'shots': 61, 'goals': 7, 'xG': 7.699500382877886}}",,,
,,,"{'stat': '46-60', 'shots': 113, 'goals': 13, 'xG': 12.200344823300838, 'against': {'shots': 70, 'goals': 8, 'xG': 7.080373411998153}}",,,
,,,"{'stat': '61-75', 'shots': 98, 'goals': 17, 'xG': 14.110884256660938, 'against': {'shots': 58, 'goals': 10, 'xG': 6.172284649685025}}",,,
,,,"{'stat': '76+', 'shots': 136, 'goals': 23, 'xG': 25.04113061632961, 'against': {'shots': 89, 'goals': 7, 'xG': 9.628987702541053}}",,,
,,,,"{'stat': 'ownGoals', 'shots': 3, 'goals': 3, 'xG': 3, 'against': {'shots': 0, 'goals': 0, 'xG': 0}}",,
,,,,"{'stat': 'shotOboxTotal', 'shots': 183, 'goals': 7, 'xG': 7.233094488270581, 'against': {'shots': 139, 'goals': 5, 'xG': 4.323214530944824}}",,
,,,,"{'stat': 'shotPenaltyArea', 'shots': 342, 'goals': 51, 'xG': 50.84379159566015, 'against': {'shots': 243, 'goals': 31, 'xG': 32.48192119598389}}",,
,,,,"{'stat': 'shotSixYardBox', 'shots': 67, 'goals': 18, 'xG': 24.781716875731945, 'against': {'shots': 31, 'goals': 8, 'xG': 9.196398140862584}}",,
,,,,,"{'stat': 'Normal', 'shots': 354, 'goals': 49, 'xG': 54.50959348492324, 'against': {'shots': 261, 'goals': 28, 'xG': 28.819619795307517}}",
,,,,,"{'stat': 'Standard', 'shots': 154, 'goals': 18, 'xG': 18.17632431536913, 'against': {'shots': 95, 'goals': 6, 'xG': 9.252451407723129}}",
,,,,,"{'stat': 'Slow', 'shots': 58, 'goals': 7, 'xG': 8.170825140550733, 'against': {'shots': 27, 'goals': 3, 'xG': 2.0594176929444075}}",
,,,,,"{'stat': 'Fast', 'shots': 29, 'goals': 5, 'xG': 5.0018600188195705, 'against': {'shots': 30, 'goals': 7, 'xG': 5.870044971816242}}",
,,,,,,"{'shots': 21, 'goals': 0, 'xG': 2.709979772567749, 'against': {'shots': 6, 'goals': 0, 'xG': 1.453436154872179}}"
,,,,,,"{'shots': 150, 'goals': 0, 'xG': 19.71411799825728, 'against': {'shots': 97, 'goals': 0, 'xG': 9.221353850327432}}"
,,,,,,"{'shots': 187, 'goals': 0, 'xG': 21.17088978830725, 'against': {'shots': 165, 'goals': 0, 'xG': 14.815939887426794}}"
,,,,,,"{'shots': 79, 'goals': 79, 'xG': 30.051352728158236, 'against': {'shots': 44, 'goals': 44, 'xG': 14.67545719537884}}"
,,,,,,"{'shots': 158, 'goals': 0, 'xG': 12.212262672372162, 'against': {'shots': 101, 'goals': 0, 'xG': 5.83534677978605}}"
